,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
91,Comtesse Marie de France Brut Millésime Champagne Grand Cru 'Bouzy' 2006,France,Champagne Grand Cru 'Bouzy',Paul Bara,4.4,127,77.93,2006,Champagne
92,N.P.U Brut Champagne (Nec Plus Ultra) 2003,France,Champagne,Bruno Paillard,4.5,128,145.73,2003,Champagne
93,Brut Champagne 2010,France,Champagne,Dom Pérignon,4.6,131,167.48,2010,Champagne
94,Cuvée Privée Crémant de Loire Brut N.V.,France,Crémant de Loire,Ackerman,3.9,131,11.4,,Champagne
95,Brut Tradition Champagne N.V.,France,Champagne,Marcel Vézien,3.6,133,25.17,,Champagne
96,Théodorine Rosé Brut Champagne N.V.,France,Champagne,Michel Loriot,4.0,133,29.19,,Champagne
97,L'Illustre Champagne N.V.,France,Champagne,Marcel Vézien,4.1,133,27.9,,Champagne
98,Instant Gourmand Brut Champagne N.V.,France,Champagne,Tribaut Schloesser,3.7,135,28.95,,Champagne
99,Grande Sendrée Champagne Brut 2009,France,Champagne,Drappier,4.3,136,61.55,2009,Champagne
100,Cuvée ∝ (Alpha) Champagne 2006,France,Champagne,Jacquart,4.3,137,126.32,2006,Champagne
101,Belle Epoque Rosé Brut Champagne 2002,France,Champagne,Perrier-Jouët,4.6,138,259.95,2002,Champagne
102,Noir Extra Brut Champagne N.V.,France,Champagne,Alexandre Bonnet,4.0,141,42.49,,Champagne
103,Crémant de Bourgogne Brut N.V.,France,Crémant de Bourgogne,Cave de Lugny,3.8,144,11.39,,Champagne
104,Assemblage Brut Champagne 2009,France,Champagne,Bruno Paillard,4.4,144,75.0,2009,Champagne
105,Blanc de Blancs Brut Champagne N.V.,France,Champagne,Robert Barbichon,3.9,144,41.25,,Champagne
106,Essentiel Blanc de Blancs Extra Brut Champagne N.V.,France,Champagne,Piper-Heidsieck,4.0,144,59.66,,Champagne
107,Millésimé de Collection Vieilles Vignes de Chardonnay Brut Champagne N.V.,France,Champagne,Pierre Gimonnet & Fils,4.3,145,140.0,,Champagne
108,Clos Saint-Hilaire Brut Champagne 1999,France,Champagne,Billecart-Salmon,4.5,146,336.31,1999,Champagne
109,Le Biographe Champagne N.V.,France,Champagne,Lacroix Triaulaire,3.9,150,29.9,,Champagne
110,Demi-Sec Mosaïque Champagne N.V.,France,Champagne,Jacquart,3.9,152,27.36,,Champagne
111,Cuvée Marie Ambal Crémant de Bourgogne N.V.,France,Crémant de Bourgogne,Veuve Ambal,3.8,156,23.95,,Champagne
112,Cuvée No. 737 Dégorgement Tardif Extra Brut Champagne N.V.,France,Champagne,Jacquesson,4.3,156,89.95,,Champagne
113,Tresor Brut 2016,France,Saumur,Bouvet-Ladubay,3.6,158,15.4,2016,Champagne
114,Cœur des Bar Champagne Blanc de Noirs Brut N.V.,France,Champagne,Veuve A. Devaux,3.9,159,36.9,,Champagne
115,l'Incandescent Rosé de Saignée Champagne Grand Cru 'Verzy' N.V.,France,Champagne Grand Cru 'Verzy',Mouzon Leroux,4.1,159,48.0,,Champagne
116,Les Nogers Blanc de Blancs Extra Brut Champagne Premier Cru 2012,France,Champagne Premier Cru,Dhondt-Grellet,4.3,160,79.0,2012,Champagne
117,Extra Brut Champagne N.V.,France,Champagne,Barons de Rothschild (Lafite),4.0,165,49.84,,Champagne
118,Crémant d'Alsace Rosé N.V.,France,Crémant d'Alsace,René Muré,3.9,165,19.5,,Champagne
119,Vintage Brut Champagne 2012,France,Champagne,Piper-Heidsieck,4.2,166,53.3,2012,Champagne
120,Special Club Grands Terroirs de Chardonnay Champagne 2010,France,Champagne,Pierre Gimonnet & Fils,4.2,171,52.0,2010,Champagne
121,Blanc de Meuniers Zéro Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,Leclerc Briant,4.2,172,146.65,,Champagne
122,Grand Cordon Rosé Brut Champagne N.V.,France,Champagne,G.H. Mumm,3.8,175,42.0,,Champagne
